UniqueCount	AmbigCount
872	7
427	9
27388	346
9479	186
124	57
1537	85
48079	701
512	2
70	4
660	13
2207	35
1713	31
223	3
1	3188
117	3372
92	3497
0	0
0	0
17	0
17	5
0	570
0	529
5	560
3	558
0	573
0	561
2	571
7	4126
2	3001
172	4032
0	4124
2	4126
0	4125
990	23
1	492
0	533
0	573
22	501
11	3378
3	4827
5	4827
0	4935
0	283
0	316
0	305
0	286
89	2
13	290
15	290
0	270
17	1
82	13
4	15
5	20
3	925
2	820
0	1138
7	721
2	1042
4	1104
1	33
24	87
11	86
3	444
0	475
19	434
0	0
214	1
41	456
0	456
34	55
10	62
8	0
0	0
999	22
170	3
0	2
0	2
1	1
85	2
0	15
26	60
34	59
0	2
0	2
0	174
0	265
18	391
1	0
0	2
0	7
0	27
0	27
0	22
99	1
12	0
9	2
7	1265
2	461
0	489
0	454
87	1716
0	52
0	52
0	52
0	1449
3	0
5	0
14	153
0	0
1	0
5	30
15	30
14	0
27	349
4	499
0	499
0	0
26	0
11	15
4	15
140	4
116	1
1	23
3	23
4	0
0	217
0	389
5	389
49	224
0	641
3	581
2	668
0	666
0	691
2	0
1	210
4	211
0	0
94	3
345	38
0	51
0	55
0	57
12	0
0	94
0	94
212	4
0	21
2	21
0	0
1337	14
20	706
10	1803
0	1801
0	1800
0	1702
0	1778
0	1739
229	1
0	47
0	200
0	1077
3	0
0	13
5	15
2	15
1	15
1	204
177	207
0	2
90	86
86	86
2	7
3	88
3	89
1	89
0	89
0	89
1	254
14	255
0	204
0	195
3	0
43	0
137	3
0	0
0	0
0	0
0	11
1	0
5	941
0	924
67	896
0	7
0	0
5	1
0	0
0	11
14	0
3	6
0	3
0	3
9	31
0	5
0	2
0	12
0	12
0	0
10	35
8	35
0	0
0	0
0	71
16	71
0	2
0	2
1	0
2	0
1	0
0	0
18	922
42	986
20	1032
10	387
31	388
45	3
0	2485
0	2024
0	2484
0	2485
11	0
3	0
18	0
0	0
0	1
0	0
0	0
0	0
5	12
97	2
0	0
0	11
0	22
4	22
488	112
17	0
0	0
0	0
51	247
0	1846
0	2
0	5
67	16
0	16
0	18
0	0
12	1327
0	1791
2	884
8	950
5	1075
0	1001
0	1001
0	6
0	2
0	106
9	125
524	8
37	28
0	11
0	0
56	989
94	987
43	1113
12	4367
0	4917
0	4762
41	4218
33	4759
0	9
0	131
0	131
21	78
0	1
1	6
0	6
0	0
0	0
0	6
0	0
0	1821
62	0
0	3
8	996
10	995
18	996
1	1632
1	1
61	0
1	47159
22318	47437
210	5
37	0
74	0
37	0
22	0
0	34
2	30
9	23
0	2
19	4
4	4
0	1
0	0
13	0
1616	24
15	1
39	559
0	660
0	560
0	0
71	0
146	168
23	167
0	9
0	9
275	1843
0	1196
16	2225
4	2
568	1822
2	16
0	8
2	17
8	386
0	391
4	390
0	57
0	51
0	44
0	47
1	68
0	69
0	50
0	61
1	59
1	43
478	1373
13	0
0	2
0	95
10	95
1	0
264	3
654	13
0	3
236	5
0	0
0	10
0	11
0	11
6	13
0	10
1	326
13	340
0	522
0	757
0	787
0	761
0	0
1842	41
2	131
20	131
0	14
0	0
0	0
0	23
0	23
2	23
1	838
83	983
3	1030
0	1597
4	8
18	259
35	261
19	0
0	23
0	18
0	23
1	0
131	2
77	0
7	0
40	0
0	2
0	5
0	331
3	359
69	387
0	378
0	0
1	0
0	13
0	13
0	14
0	13
0	13
0	13
0	14
0	13
0	14
2	15
74	301
1	301
319	1894
28	1888
1008	12
0	4
0	4
43	338
0	342
0	297
2	0
0	0
0	0
0	0
0	0
0	0
2	0
0	98
0	104
0	88
8	108
0	61
0	63
0	63
5	50
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
1	41
8	48
109	56
0	0
39	1
25	0
0	8
0	2
0	3
0	3
0	11
0	8
0	10
0	10
0	0
0	0
0	9
0	9
0	8
1	8
0	1
0	9
6	49
4	49
22	92
243	99
712	13
34	269
177	270
0	0
0	0
0	1
0	1
0	0
192	1226
0	1225
186	1
0	0
157	3
171	5
0	0
0	0
79	464
242	471
169	4
0	0
0	0
19	0
0	131
16	117
0	159
33	162
0	403
5	352
26	422
349	3
8	18
0	18
37	7
22	6
4	202
11	202
38	0
10	201
0	198
0	1605
554	1620
0	1605
1	1605
408	3
0	0
17	0
11	7026
3	6859
80	7033
3	0
0	18
9	18
14	0
0	40
0	45
0	38
0	52
0	0
0	0
0	0
0	0
14	0
1	1
41	0
0	0
0	0
23	642
37	2
27	518
0	565
0	559
0	0
0	1499
0	1172
0	0
0	0
0	194
50	313
60	313
22	1
53	262
29	345
12	268
0	0
10	0
16	0
16	552
0	552
170	22
0	31
3	32
0	4
0	4
0	15
0	23
0	23
2	0
0	31
0	31
0	32
0	31
0	21
0	100
0	100
0	1
0	1
40	121
25	339
0	249
0	264
0	232
50	339
0	180
1	176
13	101
89	2
0	1
0	1
7	0
3	0
0	18
0	9
0	18
0	129
8	129
1132	17
3	45
59	47
0	0
11	12
2063	212
30	170
7	170
1	81
2	2
5	7
19	8
0	106
0	275
0	109
3	92
0	274
0	278
0	274
0	8865
310	8874
915	3568
1	6318
15	4654
0	0
0	138
0	146
0	141
0	161
0	147
0	161
1	9
1	10
0	263
0	329
0	390
5	392
0	357
7	231
42	243
5	254
0	3
0	3
228	3
88	82
5	53
2	51
0	0
0	605
1	605
0	150
171	20
0	5
0	6
1	0
0	2
0	1
0	52
3	32
2	63
0	56
519	13
2	105
4	0
0	4
2	0
0	0
0	0
0	0
0	120
0	119
1	119
2	133
0	133
0	150
3	28
0	20
0	20
0	11
107	1
4	28
3	28
29	0
0	0
0	0
0	0
0	0
6	11
0	7
1	7
25	0
11	0
1	0
102	0
0	6
0	9
0	9
12	27
60	27
0	2
0	48
3	48
0	2
0	5
0	5
0	2
0	5
39	0
0	0
0	83
29	156
18	0
0	1
0	0
0	4
9	810
7	1270
15	1203
45	570
0	411
0	411
0	427
2	388
0	77
0	80
0	80
0	76
0	75
0	80
127	21
9	20
433	2
84	0
0	10
0	12
0	9
0	9
0	0
0	11
2	29
3	18
0	18
13	5
0	6
9	67
305	708
42	1841
66	1715
0	1
0	34
0	0
1	16
0	6
2992	1854
0	1891
0	2731
255	2312
0	2469
10	2448
0	1703
0	0
0	3
0	0
0	3
0	4
0	4
0	4
0	4
0	4
5	531
0	496
6	556
7	617
0	6
0	9
0	9
0	7
5	8
17	1
0	0
0	111
0	67
0	111
0	115
11	38
5	43
32	44
3	0
15	283
2	297
6	290
0	315
0	328
0	340
0	9
2	15
0	0
0	6
0	0
0	0
0	0
0	0
15	1056
0	1023
0	1128
0	1556
131	1348
20	1725
0	0
4	13
0	13
8	313
0	313
2	313
40	312
0	313
0	61
5	61
6	4
0	1962
0	627
123	1962
0	757
3	875
0	865
4	878
0	930
128	937
0	0
221	2483
88	2482
0	102
0	363
0	373
1	63
2	69
24	379
2	484
3	485
1	245
2	228
0	508
0	0
622	18
0	68
0	0
0	551
0	37
1	37
634	8
0	54
15	54
0	263
0	276
153	10
2	140
1	4
0	4
0	56
0	42
3	89
8	77
0	86
0	91
0	87
0	7731
29	7731
47	7732
48	7734
1	23
1	23
0	35
0	31
0	34
0	30
0	31
0	35
32	0
61	8
0	56
0	93
0	48
0	93
0	48
4	1
45	8024
10	7991
41	8030
33	8002
0	8163
51	8069
25	2242
36	2197
451	2246
81	96
2	1148
69	1148
597	72
201	3
38	622
2	621
17	3381
22	2800
2	2802
0	3182
4	3173
0	3135
0	9
9	10
0	9
0	7
218	486
2	1399
4	1552
29	1461
0	15
0	20
0	17
0	17
0	15
0	0
0	0
0	1
0	1
0	0
58	2
78	0
22	66
16	66
0	0
0	0
4	2
3	2
101	142
110	144
1	13812
0	13481
0	13590
0	12520
0	19122
58	19102
68	16557
10	13314
0	0
0	0
27	2896
0	2694
0	3549
225	5
47	4
40	287
28	287
8	0
0	0
0	1
0	1
0	1
0	1
0	1
1017	20
0	3
39	284
0	259
1	449
0	472
0	455
1	531
115	490
1	0
0	0
1	2
20	841
30	916
0	841
0	4
0	4
6	4
2	72
3	71
0	76
0	25
0	31
0	31
46	3837
41	3838
14	3837
67	3833
0	3832
162	3934
0	3974
0	679
252	420
1	1585
224	1916
11	428
29	428
1	0
26	1831
26	1830
7	2168
18	2168
16	818
120	819
1	822
7	817
50	817
244	824
0	338
0	818
0	825
46	825
139	321
852	325
16	631
0	605
0	561
4	644
2	181
9	138
0	187
3	208
5	196
77	1
2	78
0	98
24	91
0	0
362	3
266	3
2	1
0	202
99	205
4	182
0	173
0	181
11	173
18	148
29	147
0	62
0	62
3	1147
5	1428
994	1445
0	1429
3	2948
98	2958
0	292
0	2835
4	346
0	1050
0	2974
3	2930
1	2919
0	179
0	179
25	179
0	824
10	935
17	1255
16	1282
0	1281
10	1285
9	454
150	5
79	1360
22	1360
267	2628
1596	2648
2	1649
7	1992
0	1715
0	18
0	30
4	30
14	0
158	781
71	779
0	0
2296	35
0	648
0	652
1	664
6	661
0	681
0	686
0	559
0	747
727	6
10	0
23	0
0	0
0	0
0	0
150	0
1	0
59	0
