UniqueCount	AmbigCount
641	7
509	1
14430	152
5125	61
215	97
1606	116
21038	243
153	1
39	6
425	10
1494	32
1112	20
180	3
12	10532
444	11164
348	11489
5	0
0	0
0	0
10	9
0	543
0	518
4	547
9	534
0	560
0	550
0	558
5	1054
0	765
91	1026
0	1054
1	1054
0	1054
2242	36
4	1213
0	1332
0	1394
84	1203
85	13765
4	19432
31	19433
0	19916
1	405
0	451
0	435
0	412
1887	45
27	1664
134	1666
0	1612
56	0
133	9
26	55
12	57
1	985
8	867
0	1171
10	746
0	1052
1	1112
13	200
145	613
89	590
11	917
1	938
18	839
3	0
378	2
46	667
0	666
39	43
20	43
6	0
0	0
1048	20
24	1
1	2
0	2
1	0
83	0
0	450
163	1092
144	1091
0	9
7	11
0	3
0	7
9	9
8	0
0	9
1	13
0	29
0	29
0	15
190	4
5	0
51	8
4	73
0	390
0	401
0	383
20	108
0	135
7	135
0	135
0	95
62	3
0	0
17	133
0	0
2	0
7	46
28	46
41	4
8	176
4	295
0	295
0	0
61	0
11	11
7	11
337	10
220	4
0	78
39	78
10	0
0	322
0	603
13	603
69	318
4	1019
6	907
5	1047
0	1045
0	1070
2	0
17	354
14	354
0	0
449	1
151	26
0	153
8	182
0	188
35	2
0	237
0	237
224	3
0	1
0	1
0	0
1605	20
84	2000
10	5704
0	5624
0	5708
0	5443
0	5589
0	5540
86	6
2	854
6	403
6	1818
5	1
1	13
4	14
7	14
0	14
0	169
114	171
0	9
27	68
57	67
4	21
9	198
1	199
0	203
0	200
1	203
5	357
15	366
0	292
1	267
6	1
32	0
134	0
1	0
1	52
0	52
0	19
5	0
0	1630
0	1608
124	1547
0	21
0	0
15	3
2	0
1	19
122	1
3	22
0	5
0	5
7	164
0	4
0	2
0	3
0	3
0	0
25	116
22	121
0	0
0	0
0	109
17	109
0	7
1	7
3	0
15	1
0	0
0	0
15	1326
50	1411
12	1480
24	792
66	796
92	0
0	15
0	13
0	15
0	15
7	0
4	0
44	0
0	1
26	81
0	3
0	3
0	3
51	7
149	4
28	1
16	128
1	235
235	237
1315	209
106	0
0	20
5	20
155	559
3	5295
11	29
0	104
287	27
1	30
3	31
42	21
45	3978
1	5636
0	1059
11	1173
4	1288
0	1186
0	1186
0	18
0	3
0	313
16	328
535	7
69	86
0	39
0	2
203	2446
131	2494
67	2808
1	5365
0	6071
7	5885
82	5187
28	5926
0	17
0	214
0	214
21	197
0	1
16	450
5	448
1	0
7	0
0	5
32	185
0	5808
234	4
19	12
4	409
5	408
16	410
4	5078
59	41
131	3
0	46
10	46
1167	10
88	1
117	0
30	0
83	1
14	359
5	289
155	214
0	4
31	4
6	5
20	13
0	0
67	1
1095	16
313	3
76	1033
0	1227
0	982
0	0
68	3
209	245
53	245
0	33
5	33
644	5041
0	2994
36	4310
3	1
1075	3030
12	52
10	23
4	42
35	655
0	673
26	674
1	44
0	29
0	27
0	34
0	50
3	50
0	28
2	41
3	36
5	24
678	2359
88	1
0	5
1	132
3	132
2	0
595	5
1160	20
0	3
444	9
0	0
0	65
0	106
6	80
68	54
5	65
1	488
26	530
1	750
0	1114
0	1150
0	1125
0	0
998	20
0	3
36	3
0	10
19	2
0	0
0	315
3	306
42	299
1	708
92	898
7	934
0	4350
145	149
43	670
106	672
70	1
0	21
0	13
7	20
3	0
217	3
148	0
43	1
86	0
18	52
45	110
0	25
0	25
2	21
0	21
0	0
3	0
0	14
0	14
1	25
2	15
0	15
0	15
0	20
0	15
0	20
0	25
139	655
0	655
314	1509
16	1507
1	0
0	10
0	10
119	1113
1	1117
4	975
1	0
0	0
0	0
0	0
0	0
0	0
13	0
0	770
3	805
2	727
71	828
0	105
0	114
1	114
4	92
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
2	79
7	105
121	119
0	0
92	1
85	1
0	66
0	22
0	20
0	20
0	85
0	66
0	84
0	84
0	0
0	0
0	29
0	33
0	22
0	23
0	9
0	33
9	223
28	223
66	219
552	226
1100	17
51	550
405	554
0	0
0	0
3	2
3	2
0	0
209	1432
1	1427
315	2
0	0
719	10
16	0
0	0
0	0
157	1188
612	1194
182	5
0	0
0	0
36	1
8	106
13	90
2	159
38	158
3	755
3	652
44	783
2095	21
173	1010
50	1011
1	0
0	0
12	527
26	527
58	0
47	429
0	427
0	93
46	93
0	93
0	93
837	17
2	0
6	0
9	8829
1	8603
142	8839
5	0
0	32
31	33
27	1
0	87
1	98
0	87
0	112
0	0
0	0
0	0
0	0
21	0
0	0
652	2
0	0
0	0
14	489
274	7
32	720
0	799
0	789
0	0
0	96
0	69
0	5
0	5
0	252
47	390
136	382
57	1
149	508
51	656
32	502
19	3
80	4
44	1
6	166
0	166
128	72
0	143
34	149
0	7
1	7
0	35
0	51
0	51
4	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	1
0	1
34	170
32	467
0	361
0	379
0	341
62	467
0	372
0	379
69	248
159	3
0	0
0	0
4	0
7	0
0	46
0	46
0	46
0	0
0	0
2728	26
0	63
75	66
0	0
17	3
1471	140
29	112
2	112
7	329
0	0
0	0
0	0
0	330
0	790
0	349
7	288
0	749
1	785
0	749
0	61
2	61
0	26
0	49
2	36
0	0
0	336
0	372
0	375
0	428
1	396
0	428
2	39
2	48
0	767
0	870
0	944
6	945
1	842
6	672
106	696
9	712
0	1
0	1
208	2
173	252
38	185
14	190
1	0
0	833
1	833
1	167
177	20
0	21
0	10
0	1
0	0
0	14
0	50
16	37
1	56
3	57
281	9
33	327
5	0
1	2
0	0
0	0
0	0
0	0
6	995
5	963
40	965
24	1010
0	1074
3	1126
14	107
3	53
1	53
0	35
20	2
3	25
1	25
76	0
0	3
0	0
0	0
0	0
58	39
0	19
3	19
103	2
22	2
6	0
146	0
0	18
0	24
0	24
4	10
30	10
0	29
1	1161
97	1161
0	17
0	17
0	19
0	16
0	19
45	3
1	0
1	316
223	539
408	2
0	9
0	2
0	49
8	570
1	891
23	853
42	378
0	236
0	236
0	251
2	210
0	17
0	17
0	17
0	15
0	17
0	17
131	12
2	11
1345	10
193	3
0	56
7	71
0	46
1	36
0	0
4	3
0	3
7	29
0	29
14	28
0	18
18	167
294	671
58	1767
93	1623
0	4
2	87
0	5
5	139
0	14
83	179
0	256
0	713
9	707
0	745
7	728
0	675
0	0
0	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
26	1289
2	1172
23	1329
17	1476
3	1640
9	2245
62	2129
29	1942
553	2194
28	4
0	0
0	442
0	251
1	446
6	456
23	47
19	94
227	92
58	0
37	631
2	658
34	631
0	695
0	717
0	752
0	0
0	0
0	1
0	18
0	0
0	0
0	0
0	0
23	849
0	806
0	903
0	1205
142	1122
24	1360
0	0
9	50
0	52
29	1100
0	1100
7	1100
167	1091
0	1100
0	212
17	212
10	8
0	3050
0	957
182	3052
0	882
0	986
0	1017
0	1034
0	1111
143	1117
0	0
354	4895
217	4890
9	339
0	895
0	966
4	177
3	220
65	1047
7	1317
5	1317
1	756
10	704
0	1397
0	0
2020	19
1	213
0	0
0	1296
1	90
4	90
8816	92
0	95
190	95
0	793
0	842
244	7
13	476
0	4
1	4
46	1064
11	190
3	1013
25	923
21	982
35	1000
5	968
0	10933
63	10933
64	10938
97	10939
0	26
0	26
0	39
0	34
0	35
0	36
0	35
0	38
427	0
127	2
0	64
0	115
0	48
0	115
0	48
5	0
181	28247
26	28125
177	28417
54	28212
0	28758
204	28506
19	2284
38	2229
470	2286
82	87
8	2221
124	2222
1131	116
8	0
41	969
