UniqueCount	AmbigCount
1461	27
1076	17
36909	383
12005	167
220	242
2997	275
54017	675
293	3
122	21
1291	29
3226	33
2602	55
685	10
40	15932
796	17228
794	17629
0	0
0	0
0	0
6	0
0	266
0	254
0	267
1	266
0	268
1	272
0	266
0	73
0	44
1	72
0	73
0	73
0	73
1210	23
2	834
0	895
4	943
62	820
5	1829
0	2623
2	2623
0	2658
0	416
0	444
0	431
0	406
460	10
9	779
79	779
0	748
18	1
60	6
2	27
12	31
0	535
3	444
0	657
3	429
0	592
0	634
8	33
21	89
20	87
3	427
0	445
9	397
0	0
1542	23
18	394
0	394
50	39
17	38
18	0
0	0
872	10
6	0
0	0
0	0
0	0
29	0
0	158
57	395
31	395
0	0
0	1
0	13
0	21
2	30
2	0
0	0
0	5
2	18
0	18
0	13
135	0
22	1
115	1
2	4
0	229
0	237
0	230
3	7
0	50
1	50
0	50
0	5
3	0
1	0
0	36
0	0
0	0
4	27
23	27
29	0
16	111
2	199
0	199
0	0
37	0
23	30
16	33
79	0
91	0
0	5
2	5
50	0
0	412
5	638
13	638
38	142
0	540
2	487
2	555
0	555
0	567
1	0
0	52
0	52
0	0
21	0
635	48
0	86
8	107
0	107
23	0
0	193
0	193
94	1
0	0
0	0
2	0
945	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
19	0
1	329
0	0
0	0
0	0
0	4
4	5
2	4
0	4
1	138
143	138
0	0
23	29
46	30
3	15
129	2273
1	2268
0	2274
0	2274
1	2274
0	193
22	195
0	109
1	104
0	0
17	0
81	1
0	0
2	34
0	34
0	11
7	4
0	753
0	741
61	705
0	15
0	0
0	6
0	1
0	11
4	0
3	2
0	0
0	0
4	34
0	5
0	0
0	11
0	11
0	0
738	1369
334	1430
0	0
1	0
0	50
5	50
0	4
0	4
0	0
19	0
0	0
0	0
32	922
35	942
20	1018
7	398
21	398
20	1
0	1
0	1
0	1
0	1
1	0
2	0
3	1
4	0
1	9
0	0
0	0
0	0
9	3
184	0
34	27
30	109
1	173
152	171
0	0
14	0
0	4
0	4
0	0
0	0
14	28
0	21
78	7
0	10
0	11
4	3
0	0
0	0
0	11036
62	10811
8	12310
0	12759
0	12759
0	6
0	0
0	92
5	117
533	11
23	42
0	0
0	0
0	2
0	5
0	6
0	1943
0	2164
1	2083
31	1865
25	2112
0	5
0	54
0	54
32	111
0	0
0	0
0	0
0	0
1	0
0	0
19	63
0	0
71	3
16	10
6	139
0	139
9	139
0	0
35	43
57	0
0	0
0	0
1078	8
25	2
51	0
223	2
48	0
5	55
2	41
21	57
0	12
30	19
1	19
19	5
0	0
30	1
1912	29
20	1
41	415
0	494
0	383
0	0
30	0
169	135
29	135
0	17
0	17
0	0
0	0
1	0
1	0
0	1
1	3
0	1
0	0
17	483
0	488
21	487
0	20
3	26
0	19
1	21
0	28
0	28
0	25
0	24
3	20
0	18
31	6
50	0
0	0
0	48
7	48
0	0
256	6
506	7
0	0
124	0
0	0
2	158
6	217
9	175
19	58
0	158
1	332
9	352
0	479
0	686
0	700
0	675
1	0
976	11
0	0
18	0
0	13
4	5
0	0
1	145
3	142
21	139
0	2225
235	2729
7	2819
0	0
5	19
34	459
105	458
41	1
0	15
0	14
0	15
4	0
207	6
112	0
3	0
78	0
1	27
15	39
0	1321
85	1409
64	1199
0	1192
0	2
1	2
0	48
0	48
0	49
0	48
0	48
0	48
0	51
0	49
0	50
1	50
82	427
0	427
240	1020
19	1017
0	0
0	5
1	5
33	251
0	252
0	235
0	0
0	1
0	1
0	1
0	1
0	1
1	1
0	457
0	493
1	426
38	507
0	41
0	41
0	41
0	35
0	1
0	3
0	4
0	4
0	2
0	4
0	4
0	4
0	61
12	90
105	99
0	0
40	1
10	0
0	100
1	40
0	39
0	37
0	125
0	104
0	120
1	121
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	1
2	13
0	13
21	116
336	120
1071	25
46	386
288	389
0	0
0	0
25	210
34	210
6	0
484	2357
6	2350
259	1
0	0
1264	13
0	0
0	0
0	0
96	671
380	673
71	0
0	0
0	0
20	1
2	17
2	18
0	35
29	34
6	894
10	782
38	940
662	12
7	72
0	72
9	3
9	3
5	371
24	372
30	0
14	198
0	198
0	188
80	188
0	188
0	188
751	3
0	0
3	0
8	5130
5	5010
60	5137
1	0
0	34
32	34
11	0
0	39
0	44
0	37
0	55
0	0
0	0
0	0
0	0
22	0
0	0
119	3
0	0
0	0
0	36
51	0
22	324
0	413
0	411
0	0
0	5
0	7
0	0
0	0
0	153
27	278
83	277
47	0
66	204
20	260
13	182
3	2
29	2
861	8
1	48
0	48
76	537
0	1021
97	1121
1	16
1	16
0	3
0	13
0	13
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	57
6	153
2	147
0	148
0	140
33	153
0	384
0	390
64	252
84	2
0	2
0	2
0	0
5	0
0	5
0	4
0	5
0	0
0	0
1840	28
6	54
96	56
0	0
88	69
6876	734
156	582
8	577
1	160
0	0
0	0
0	0
0	167
0	450
0	162
5	137
0	430
0	453
0	430
0	2165
19	2162
30	897
77	1723
54	1284
0	0
0	112
0	126
0	133
0	145
1	131
0	145
0	6
1	14
1	374
0	444
0	467
0	469
2	424
6	290
63	296
0	310
0	0
0	0
25	0
47	100
2	61
5	86
0	0
0	423
0	423
2	66
126	16
0	2
0	2
0	0
0	0
0	1
0	11
1	11
0	21
1	18
283	4
6	182
7	0
0	1
0	0
0	0
0	0
0	0
1	106
0	99
0	92
0	122
0	110
0	130
8	37
3	24
0	24
0	0
25	0
4	14
