UniqueCount	AmbigCount
596	5
496	4
15548	237
10194	228
125	146
1404	174
40546	850
297	1
60	9
557	23
869	26
1544	46
209	3
11	3886
168	4168
170	4175
0	0
0	0
12	0
21	2
6	518
0	471
5	505
4	502
0	523
0	507
3	521
9	12414
0	8848
147	11962
0	12412
0	12412
0	12414
916	11
0	906
0	983
7	1030
117	927
13	2386
0	3480
1	3480
0	3571
0	1140
0	1233
0	1189
2	1144
136	1
6	481
59	481
0	464
9	1
45	5
5	24
8	28
0	901
5	799
0	1105
1	696
0	992
0	1068
2	43
42	116
22	115
2	658
1	688
7	635
0	0
513	14
30	330
0	330
44	37
13	36
16	0
1	0
651	14
163	6
0	1
0	1
1	0
44	0
0	59
14	152
15	152
0	0
0	0
0	499
1	796
132	1192
11	0
0	0
0	5
0	15
0	15
0	12
76	0
7	0
21	1
2	2142
0	242
0	244
0	225
156	2914
0	91
2	90
0	91
0	2418
15	0
0	0
1	36
0	0
0	0
2	23
8	23
16	0
34	105
0	154
0	154
0	0
23	0
20	29
9	29
115	8
99	2
2	21
20	21
9	0
0	142
0	219
5	219
32	119
2	525
0	476
5	533
0	531
0	547
4	0
0	247
5	247
0	0
84	0
135	24
0	74
4	82
0	87
16	0
0	69
0	69
224	2
0	31
3	31
0	0
3267	67
0	0
0	0
0	0
0	0
0	0
0	0
0	0
51	6
0	85
0	0
0	0
0	0
0	3
3	3
0	3
0	3
4	237
267	245
0	0
12	18
35	18
0	4
1	68
0	69
0	69
0	69
0	69
0	89
8	91
0	72
0	68
0	0
5	0
84	0
0	0
0	17
1	17
0	3
0	0
0	1213
0	1198
116	1148
0	4
0	0
10	5
0	1
0	3
7	0
10	27
0	5
0	5
8	64
0	6
4	0
0	1
0	1
0	0
37	72
17	73
0	0
0	0
0	45
12	46
0	0
1	0
0	0
6	1
0	0
0	0
14	788
19	833
20	891
15	477
29	478
39	0
0	13007
0	10829
0	13005
0	13007
13	0
11	0
9	0
0	4
0	6
0	3
0	3
0	3
23	39
70	1
0	0
1	0
0	0
8	0
0	0
20	0
0	0
0	0
0	0
0	0
2	2
0	10
61	70
0	77
2	81
0	1
0	0
0	0
0	218
0	228
3	224
0	235
0	235
0	8
0	0
0	34
4	39
1150	26
10	13
1	0
0	3
0	1
0	1
0	1
9	2237
0	2502
2	2446
81	2180
23	2431
0	8
0	78
0	78
0	36
0	0
0	4
0	4
0	0
0	0
0	0
4	11
0	0
53	0
5	1
11	904
10	904
50	904
0	0
14	5
36	2
1	57690
32478	58104
158	3
12	0
49	0
34	0
21	0
0	43
0	25
12	41
0	2
10	2
2	2
3	2
0	0
24	0
3525	85
18	0
46	518
0	598
0	487
0	0
33	0
232	212
20	207
0	19
0	19
0	0
0	0
0	1
8	0
0	2
1	0
0	0
0	0
11	355
0	362
9	361
0	36
0	22
0	17
0	25
1	44
0	43
1	23
0	39
1	35
0	17
14	2
23	1
0	0
0	41
4	41
0	0
487	3
354	12
0	0
115	2
0	0
0	36
0	44
0	38
8	19
2	36
0	197
4	199
0	344
0	489
0	495
0	482
0	0
1548	21
0	11
41	11
0	8
3	0
0	0
0	30
0	30
10	30
0	1388
205	1747
7	1795
1	1
8	6
33	297
51	297
17	0
0	11
0	10
0	11
0	0
147	7
43	5
1	0
60	2
1	1
1	6
0	934
14	1027
192	1093
0	1067
0	2
2	2
0	11
0	11
0	11
0	11
0	11
0	11
0	14
0	11
0	14
3	11
42	286
0	284
517	2252
20	2240
1736	19
0	4
5	4
22	211
0	211
0	176
3	0
0	0
0	0
0	0
0	0
0	3
1	3
0	162
3	177
2	151
6	180
0	30
0	36
3	36
0	28
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	51
16	71
78	87
0	0
32	0
34	0
0	7
0	1
0	2
0	2
0	7
0	6
0	7
0	7
0	0
0	0
0	2
0	2
0	4
0	4
0	2
0	4
2	10
0	10
1	76
280	85
221	3
42	361
334	370
0	0
0	0
0	5
2	5
1	0
126	841
1	837
314	1
0	0
151	3
22	0
0	0
0	0
63	450
256	453
100	0
0	0
0	0
10	0
6	21
9	17
1	53
33	55
0	302
8	269
31	319
1410	22
0	7
0	7
124	35
78	27
3	269
11	269
22	0
12	134
0	134
2	8556
3943	8657
6	8558
10	8558
3287	71
0	0
12	0
4	2259
0	2215
20	2264
0	0
0	30
11	30
4	0
0	30
0	30
0	36
0	40
0	0
0	0
0	0
0	0
11	0
0	2
83	3
0	0
0	0
3	129
