UniqueCount	AmbigCount
416	5
306	11
6636	87
2495	39
90	87
817	103
11402	155
59	0
21	3
247	5
697	8
643	7
105	0
16	10687
494	11471
507	11646
1	0
0	0
1	0
17	5
0	690
0	641
5	691
9	678
0	705
0	693
0	703
2	951
0	695
45	923
0	951
0	951
0	951
2602	50
1	1549
0	1651
13	1734
109	1513
40	10814
6	15923
12	15923
0	16306
0	468
0	500
0	483
0	462
905	18
35	1186
155	1186
1	1141
56	5
65	6
12	36
14	40
0	883
6	770
0	1081
3	680
0	995
4	1050
16	206
113	492
64	482
3	854
2	886
20	817
1	0
421	6
50	696
0	695
51	96
26	95
3	0
1	0
672	19
16	0
0	1
0	1
10	0
158	7
0	217
267	579
122	581
0	9
0	11
0	11
0	36
2	44
19	0
0	8
0	6
1	16
0	16
1	12
244	1
19	1
73	2
12	108
2	341
0	351
0	337
43	120
0	265
21	265
0	265
0	117
22	0
0	0
0	6
0	0
0	0
5	78
45	78
65	2
10	134
2	230
0	229
0	0
49	1
24	31
19	31
250	1
226	0
1	49
14	49
8	0
0	284
0	403
6	403
94	374
3	1492
13	1390
6	1526
0	1525
0	1556
0	0
7	296
9	296
0	0
427	3
141	20
2	128
9	139
0	146
58	1
0	147
0	147
244	2
0	0
0	1
0	0
1108	12
0	0
0	0
0	0
0	0
0	0
0	0
0	0
34	0
1	246
0	0
0	0
0	0
1	14
7	16
4	16
0	16
1	168
135	168
0	0
41	104
129	107
6	16
5	132
1	133
0	134
0	134
0	134
1	361
27	376
0	270
4	260
0	0
57	0
206	6
1	0
3	66
6	66
0	15
11	0
3	1354
0	1337
96	1287
0	16
1	4
13	10
0	3
0	15
48	1
30	64
0	4
0	4
26	233
0	16
7	5
0	4
0	4
0	0
16	59
20	69
4	0
0	0
1	99
12	99
0	2
1	2
0	0
13	0
0	0
0	0
24	1675
55	1770
40	1878
24	599
43	599
62	0
0	5
0	5
0	5
0	5
18	0
14	0
21	0
0	7
4	61
0	0
0	0
0	0
94	11
118	2
26	0
7	58
2	122
183	122
0	0
96	1
0	6
2	6
0	0
0	0
14	8
0	251
232	29
0	34
6	34
21	29
0	0
0	0
0	98
0	120
0	129
0	125
0	125
0	9
0	0
0	103
12	112
491	7
52	36
2	4
0	1
0	3
0	9
0	11
1	4177
0	4744
7	4583
91	4023
58	4643
0	4
0	147
0	147
5	87
0	0
21	344
1	344
3	6
72	6
0	0
27	210
0	0
140	0
149	10
4	322
11	322
11	322
0	1
11	27
144	1
0	13
4	13
497	10
68	2
139	2
32	1
90	4
8	677
43	586
142	447
0	3
18	8
5	7
15	13
0	0
36	2
936	23
315	3
100	722
0	856
0	665
0	0
131	3
211	164
40	163
0	45
1	45
0	1
0	0
1	1
13	0
1	0
0	4
0	2
0	0
31	765
0	769
32	768
1	65
2	50
0	40
5	49
0	83
0	78
0	42
0	66
2	62
10	32
30	2
45	1
0	0
0	64
10	64
0	0
496	5
965	7
0	0
381	1
0	0
0	195
4	234
1	207
159	160
4	195
1	800
41	865
5	1305
0	1871
0	1903
0	1833
0	0
718	11
0	0
26	0
0	11
36	7
0	0
0	101
0	100
20	96
2	597
108	722
14	745
0	0
98	108
73	751
142	752
74	2
0	19
0	14
21	19
13	0
560	3
137	0
48	2
144	3
35	82
51	171
0	8
0	8
0	8
0	8
8	148
176	150
0	35
0	35
0	38
0	36
0	37
0	37
0	37
0	36
0	36
3	40
80	511
1	511
220	967
11	959
0	0
1	20
2	20
27	461
0	461
3	401
1	0
0	5
0	5
0	5
0	5
0	8
14	8
3	778
5	826
5	736
55	856
0	96
0	107
2	107
5	76
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	144
16	238
279	256
0	0
278	4
23	0
0	146
1	47
0	61
0	61
0	179
0	145
0	178
0	178
0	0
0	0
0	8
0	4
0	11
0	10
0	8
0	9
2	20
4	20
60	251
632	259
572	5
82	660
504	666
0	0
0	0
0	4
0	4
0	0
235	1320
0	1319
511	1
0	0
561	10
29	0
0	0
0	0
148	973
530	978
152	0
0	0
0	0
28	0
12	39
4	42
0	75
38	67
3	725
6	661
44	775
1590	24
51	151
13	151
0	1
0	1
4	530
23	530
94	0
25	449
0	448
0	252
121	254
0	252
3	252
1303	21
5	0
9	0
11	5497
7	5382
86	5512
6	0
0	47
54	47
26	0
0	64
2	66
0	69
0	87
0	0
0	0
0	0
0	0
9	0
0	0
802	12
0	0
0	0
0	65
226	5
31	645
0	749
0	731
0	0
0	115
0	99
0	0
0	0
0	242
45	427
101	429
23	1
128	392
39	467
15	347
17	11
262	22
2	0
