UniqueCount	AmbigCount
1462	7
1156	6
50993	331
19860	139
306	228
4131	249
93832	598
555	6
112	12
1216	17
3538	24
3444	22
1120	9
25	15779
734	16816
553	17141
0	0
0	0
0	0
7	2
0	469
0	457
2	478
3	467
0	483
1	483
0	480
0	112
0	79
2	112
0	112
0	112
0	112
1145	11
0	1162
0	1246
6	1280
48	1095
2	1920
0	2755
2	2755
0	2829
1	532
0	589
0	568
0	548
409	1
12	1197
131	1198
0	1151
24	0
63	3
7	31
19	36
0	688
2	590
0	849
3	548
0	777
2	835
11	64
31	145
31	144
1	625
0	650
5	591
0	0
3327	30
31	496
0	496
48	71
12	70
18	0
1	0
895	8
1	0
0	0
0	0
3	0
30	0
0	338
197	912
112	912
0	0
0	0
0	29
0	44
6	62
12	0
0	0
0	5
0	17
0	17
0	16
207	1
9	3
99	0
2	30
0	371
0	380
0	344
18	45
0	64
3	63
0	64
0	42
4	0
0	0
15	72
0	0
0	0
0	27
8	27
81	2
7	175
3	280
0	280
0	0
35	0
28	25
10	25
151	2
94	0
0	10
3	10
211	0
0	891
7	1641
44	1641
50	260
0	901
3	839
3	922
0	921
0	939
0	0
0	65
4	65
0	0
26	0
553	42
0	83
1	97
0	100
38	0
0	259
0	259
132	2
0	0
0	0
7	0
1337	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
24	0
4	660
0	0
0	0
0	0
2	10
3	10
4	10
0	10
1	231
199	231
0	0
14	61
68	61
3	14
42	1546
0	1543
0	1550
0	1549
0	1550
0	176
26	180
0	119
0	109
0	0
27	0
183	0
0	0
0	66
1	66
0	11
2	0
2	1276
0	1255
83	1213
0	14
0	0
28	9
0	5
0	11
16	0
1	69
0	0
0	0
21	57
0	2
0	1
1	22
0	22
0	0
1503	3520
581	3772
0	0
0	0
1	81
17	81
0	2
0	2
0	0
10	0
0	0
0	0
22	1400
24	1425
15	1533
11	581
59	582
33	0
0	20
0	19
0	20
0	20
2	0
5	0
6	0
0	0
0	11
0	0
0	0
0	0
4	5
209	4
5	7
1	33
1	42
23	41
0	0
16	0
0	0
0	0
0	0
0	0
12	23
0	14
63	13
0	21
1	21
3	1
0	0
0	0
0	2637
14	2686
2	3114
0	3086
0	3086
0	11
0	0
0	86
8	94
769	3
26	34
0	6
0	0
0	0
0	0
0	0
3	1848
0	2086
0	2014
35	1780
27	2035
0	9
0	101
0	101
35	122
0	0
0	1
0	1
0	0
2	0
0	0
8	42
0	0
69	0
8	5
1	182
2	180
14	185
0	1
25	28
63	0
0	48
29	48
1347	6
31	1
112	2
257	4
56	0
2	63
4	52
38	71
0	4
31	6
3	6
6	5
0	0
10	0
2415	13
25	0
80	920
0	1097
0	886
0	0
42	0
151	134
32	134
0	14
0	14
0	2
0	0
0	2
1	1
1	5
0	0
0	0
0	0
43	914
0	923
37	919
4	48
0	37
0	29
0	37
0	57
0	56
0	40
1	50
0	41
0	28
11	5
102	0
0	0
0	77
13	77
0	0
449	1
674	3
0	0
176	0
0	0
0	181
4	232
5	206
4	99
0	182
0	506
32	557
0	820
0	1204
0	1220
0	1176
0	0
1164	7
0	0
16	0
0	17
2	0
0	0
0	130
1	126
25	120
0	2072
190	2561
11	2651
0	1
21	32
53	489
90	489
18	0
0	33
0	18
0	29
3	0
260	3
200	0
11	0
105	1
1	26
15	62
0	1978
87	2063
105	1713
0	1697
0	3
0	3
0	33
0	32
0	34
0	33
0	33
0	33
0	35
0	36
0	32
0	37
90	569
0	566
290	1426
4	1426
0	0
0	5
2	5
30	297
0	299
0	257
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	561
1	604
1	529
82	619
0	70
0	77
3	77
0	62
0	5
0	7
0	7
0	7
0	5
0	7
0	7
0	7
0	99
11	148
194	165
0	0
43	0
7	0
0	85
0	31
0	33
0	31
0	109
9	93
0	108
0	108
0	0
0	0
0	1
0	1
0	1
0	1
0	0
0	1
0	14
1	14
15	150
485	163
927	12
58	573
402	575
0	0
0	0
16	221
30	221
1	0
409	2279
5	2275
184	0
0	0
1304	10
0	0
0	0
0	0
72	611
294	615
248	0
0	0
0	0
27	0
2	39
2	29
0	65
30	63
2	1452
11	1230
52	1486
498	1
24	60
3	60
2	3
4	3
5	343
14	344
27	0
19	171
0	171
1	277
102	278
0	277
0	277
871	11
4	0
2	0
2	3098
5	3023
53	3099
2	0
1	32
23	32
8	0
0	103
0	105
0	115
0	130
0	0
0	0
0	0
0	0
11	1
0	0
63	0
0	0
0	0
7	214
48	0
21	530
0	608
0	606
0	0
0	40
0	28
0	0
1	0
0	301
48	479
127	481
73	1
95	341
23	405
5	280
2	1
21	1
1319	12
0	75
0	75
100	1456
0	2682
192	2825
0	7
0	7
0	11
0	15
0	15
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
27	108
22	226
0	201
0	215
0	200
36	228
0	477
0	466
70	302
76	0
0	3
0	3
0	0
1	0
0	3
0	3
0	3
0	0
0	0
2221	26
0	45
69	45
0	0
26	43
5087	529
86	450
6	450
3	233
0	0
0	0
0	0
0	139
0	366
0	130
2	118
0	370
0	370
0	370
0	1520
19	1521
11	616
34	1182
45	863
0	0
0	103
0	111
0	121
0	127
0	105
0	127
3	5
0	8
1	597
0	715
0	737
2	738
3	670
6	395
41	389
0	415
0	2
0	2
28	0
41	122
1	88
2	69
0	0
0	475
0	475
3	111
96	21
0	3
0	6
0	2
0	4
0	2
0	37
9	31
0	48
0	34
550	5
10	243
6	0
0	0
2	0
0	0
0	0
0	0
0	146
0	139
3	146
2	148
0	161
4	170
14	44
3	46
5	46
0	3
25	0
0	0
0	0
41	1
0	0
0	0
0	1
0	0
21	3
0	8
3	8
28	2
36	3
8	3
205	0
0	12
0	3
0	3
11	26
33	26
0	3
1	14
1	14
0	0
0	0
0	0
0	0
0	0
33	0
1	0
0	110
15	179
42	0
0	1
0	1
0	6
6	425
7	737
8	714
24	293
0	286
0	286
0	297
0	267
0	38
0	40
0	39
0	37
0	36
0	40
189	13
8	7
994	10
92	0
0	6
0	10
0	7
0	5
0	0
2	79
10	81
2	28
0	28
9	3
0	10
5	28
424	1041
55	2609
106	2372
0	6
3	26
0	1
10	103
0	9
381	952
0	1233
0	3854
26	3826
0	3996
71	3936
0	3639
0	0
0	4
0	3
0	8
0	7
0	7
0	7
0	6
0	8
19	741
0	699
14	784
3	873
1	187
1	289
6	270
2	242
76	269
68	7
0	0
0	66
0	38
0	66
0	69
5	35
32	64
122	61
560	5
16	371
5	388
15	375
0	421
0	428
0	450
0	9
0	17
1	0
0	8
0	1
0	1
0	1
0	1
1	154
0	152
0	163
0	193
16	180
1	214
0	0
4	7
0	4
4	158
0	158
6	158
17	153
0	158
0	80
2	80
3	2
0	2132
0	976
125	2132
0	1190
0	1253
0	1304
0	1323
0	1480
89	1485
0	0
215	2889
139	2891
0	110
0	285
1	298
13	154
2	147
309	6229
38	7527
54	7531
13	4782
27	4374
1	7990
0	0
500	3
0	66
1	0
0	777
1	96
4	96
9725	49
0	65
208	66
0	380
0	386
142	6
2	254
0	0
0	0
19	789
11	134
5	321
11	308
4	318
7	322
0	300
0	3474
20	3474
17	3478
33	3478
0	13
0	13
0	20
0	17
0	17
0	17
0	20
0	20
4	0
29	3
0	17
0	36
0	11
0	36
0	11
2	0
106	10248
13	10170
45	10220
38	10157
0	10388
67	10270
24	6922
41	6734
1266	6928
161	160
2	886
33	886
2273	40
3	0
19	553
0	553
18	1786
9	1433
0	1434
0	1682
0	1679
0	1653
0	4
5	3
1	4
0	4
118	483
1	4559
22	4996
91	4660
0	195
9	249
8	230
0	222
3	196
0	0
0	0
0	0
0	0
0	0
25	2
43	0
211	349
7	349
9	2
3	2
22	8
0	8
38	31
32	31
0	1705
0	1777
0	1700
0	1553
0	1839
8	1836
2	1752
25	1738
0	0
0	0
2	623
0	513
0	715
679	2
25	0
43	348
42	348
0	0
0	1
0	0
0	0
0	0
0	0
0	0
26	1
0	0
114	767
0	687
14	1238
0	1276
0	1331
1	1452
112	1290
0	7
4	0
0	9
16	1599
86	1705
1	1576
0	0
0	0
0	0
0	0
0	0
0	0
0	29
0	34
0	34
5	734
7	734
0	734
7	735
0	733
9	718
0	742
0	601
333	531
3	2098
306	2385
53	848
52	850
103	0
1	27
0	27
1	52
2	52
109	4012
787	4018
17	4019
121	4006
337	4013
