UniqueCount	AmbigCount
686	5
865	5
27648	203
16405	129
379	315
4214	340
87029	620
362	2
51	8
586	10
2425	19
1956	10
1184	5
11	5072
256	5392
202	5405
0	0
0	0
23	0
10	6
8	581
2	543
1	570
4	566
0	586
0	571
3	585
2	5479
2	3997
92	5231
0	5475
0	5478
1	5480
1240	7
5	1165
0	1251
6	1341
115	1229
4	2952
0	4050
1	4050
0	4142
1	2181
0	2392
0	2330
2	2246
117	3
3	799
66	804
1	778
7	0
51	1
3	25
7	26
2	953
10	826
0	1226
7	793
0	1136
0	1211
8	77
32	216
37	205
1	585
3	613
10	570
1	0
867	1
53	515
0	515
53	65
9	65
12	0
0	0
678	14
284	2
0	1
0	1
2	0
70	0
0	32
19	125
40	125
0	1
0	0
0	1682
0	2672
333	3949
7	0
0	0
0	7
0	18
0	18
0	13
105	0
3	0
19	0
10	2849
0	348
0	353
0	332
125	3521
0	64
2	64
0	64
0	3162
7	1
0	0
11	78
0	0
0	0
2	17
4	17
38	0
19	253
0	385
0	385
0	0
34	0
17	31
21	31
201	1
68	1
3	70
5	69
6	0
0	266
0	460
9	460
40	146
1	622
4	568
6	635
0	633
0	641
0	0
3	183
10	183
0	0
303	1
115	12
0	50
1	63
0	63
14	0
0	101
0	101
197	6
0	9
0	9
0	0
4891	54
35	1640
2	3790
0	3710
0	3785
0	3719
0	3675
0	3747
57	0
0	45
3	485
0	3647
3	0
0	8
7	8
2	8
0	8
5	337
279	337
0	3
27	33
75	34
0	1
6	71
1	71
0	71
0	71
0	71
0	112
15	113
0	78
0	65
0	0
5	0
126	2
0	0
0	25
0	25
0	1
2	0
0	1465
0	1453
125	1392
0	1
1	0
2	2
0	2
0	1
11	0
16	26
0	0
0	0
18	56
0	1
1	1
0	2
0	2
0	0
12	22
2	25
0	0
1	0
0	55
7	55
0	0
0	0
0	0
3	0
0	0
0	0
10	898
24	926
10	984
14	454
31	454
39	2
0	10904
0	8727
1	10903
0	10904
9	0
2	0
7	0
1	2
1	4
0	1
0	1
0	1
17	24
155	1
0	0
0	4
0	4
0	4
541	135
54	0
0	2
0	2
131	245
3	4005
4	9
0	14
89	45
0	43
0	44
1	0
17	2764
0	3932
2	167
2	171
2	195
0	189
0	189
0	6
0	1
0	52
2	57
1894	25
12	19
0	0
0	0
13	192
8	190
3	224
12	2250
0	2503
0	2444
30	2192
9	2456
0	5
0	162
0	162
5	31
0	1
0	2
0	2
0	0
0	0
0	0
5	66
0	3993
60	0
5	0
3	1310
8	1307
69	1310
2	3415
0	7
53	0
3	120219
55199	120519
197	0
10	0
43	1
3	0
19	0
3	48
3	34
12	46
0	0
4	2
1	2
4	1
0	0
27	0
5127	54
14	0
50	869
0	1006
0	779
0	0
28	0
233	203
30	202
0	16
1	16
112	3710
0	2671
35	7484
6	2
627	5709
0	2
2	1
1	0
43	661
0	675
23	670
1	34
0	30
1	29
0	29
2	36
0	37
2	26
0	33
0	34
5	26
1413	4867
37	0
0	3
0	71
9	71
0	0
748	5
568	4
0	1
163	1
0	0
1	31
0	37
1	32
7	20
0	31
0	332
22	347
0	528
0	780
0	803
0	777
0	0
2003	23
6	95
35	95
0	7
10	2
0	0
0	39
0	37
5	39
0	1687
214	2190
2	2253
1	3178
2	11
33	365
83	365
22	0
0	11
0	7
0	11
0	0
145	2
40	0
1	0
74	0
1	12
2	39
1	1230
7	1306
246	1327
0	1323
0	0
0	0
0	6
0	7
0	7
0	7
0	7
0	7
0	7
0	7
0	7
0	7
73	403
0	403
581	2515
22	2513
1355	8
0	1
0	1
23	278
0	279
0	253
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	130
0	143
0	116
14	145
0	69
0	86
2	87
3	51
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	113
5	141
212	154
0	0
17	0
20	0
0	4
0	0
0	0
0	0
0	4
0	3
0	4
0	4
0	0
0	0
0	4
0	4
0	4
0	4
0	0
0	4
1	10
4	10
16	143
395	144
302	3
59	548
356	552
0	0
0	0
0	1
0	1
0	0
132	662
1	659
263	0
0	0
79	1
87	0
0	0
0	0
62	345
192	345
225	1
0	0
0	0
7	0
0	41
8	39
1	83
29	83
1	390
7	354
17	400
794	6
0	4
0	4
110	8
55	8
0	212
6	212
18	0
4	95
0	95
0	19660
8133	19773
0	19674
8	19658
3362	24
0	0
5	0
7	1873
0	1837
30	1876
1	0
0	18
15	18
12	0
0	42
2	40
0	42
0	52
0	0
0	0
0	0
0	0
21	0
0	0
40	0
0	0
0	0
4	470
76	0
50	872
1	1000
0	995
0	0
0	3227
2	2461
0	0
0	0
0	269
30	430
106	435
27	0
77	436
55	551
12	411
2	0
8	0
7	0
23	933
0	933
189	18
0	29
6	29
1	36
3	36
0	1
0	4
0	4
2	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
12	94
25	199
0	208
0	216
0	194
26	199
0	130
3	132
10	86
94	1
0	0
0	0
5	1
14	0
0	78
1	76
0	78
1	262
13	262
3131	32
0	60
73	60
0	0
3	2
559	58
5	52
0	52
0	53
0	0
0	0
0	0
0	27
0	68
0	23
1	16
0	81
0	72
0	81
0	6992
164	6989
576	2878
3	5123
113	3853
0	0
0	50
0	52
0	52
0	58
0	49
0	58
0	0
0	0
0	636
0	765
0	793
3	796
3	707
2	192
18	198
0	210
0	4
1	4
229	8
18	47
0	23
0	30
0	0
0	783
0	783
0	161
121	12
0	3
0	3
0	3
0	0
0	0
0	58
11	40
3	55
0	61
392	2
1	66
6	0
0	1
0	0
0	0
0	0
0	0
0	151
3	151
1	149
4	150
0	167
3	172
1	25
2	17
0	17
0	0
20	0
0	0
0	0
41	0
0	0
0	0
0	0
4	0
3	0
0	0
0	0
15	0
25	1
0	1
115	0
0	6
0	0
0	0
57	95
158	99
0	0
0	5
0	5
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	16
9	32
40	3
0	0
0	1
0	1
2	776
12	1176
31	1111
19	563
1	193
0	193
0	201
3	176
0	17
0	19
0	18
0	19
0	16
0	19
96	24
8	23
852	8
56	0
0	2
0	3
0	2
0	0
0	0
1	77
15	226
3	11
0	11
0	0
0	6
2	14
370	1165
28	2860
29	2570
0	1
4	13
0	0
0	10
0	4
2307	2714
0	2522
0	3443
45	2382
0	2785
6	2783
0	1924
0	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
5	643
4	602
6	652
2	708
0	34
1	55
1	50
0	48
13	49
10	2
0	0
0	124
2	59
0	125
0	128
2	45
13	56
88	56
4	0
13	189
1	191
15	189
0	201
0	217
0	225
0	69
22	114
0	0
0	6
0	0
0	0
0	0
0	0
8	878
0	842
0	922
0	1158
71	1104
11	1308
0	0
0	2
0	2
0	167
0	167
0	168
13	166
0	167
0	8
0	8
1	3
0	1982
0	1017
144	1986
0	1831
0	2001
0	2061
0	2091
0	2264
214	2285
0	0
245	2833
121	2833
0	54
0	163
0	172
1	32
1	34
21	512
3	611
3	611
1	395
0	377
0	660
0	0
598	4
0	25
0	0
0	645
0	26
3	26
479	2
0	85
222	92
0	69
0	70
298	23
0	82
0	10
0	10
0	57
0	31
3	204
8	192
1	199
1	201
0	183
0	9175
41	9176
44	9178
52	9179
0	1
0	1
0	2
0	1
0	2
0	2
0	2
0	2
10	0
30	2
0	54
0	76
0	50
0	76
0	50
0	0
69	7753
18	7624
20	7693
78	7713
0	7853
38	7741
10	1014
16	977
189	1015
31	41
3	485
31	485
536	36
170	1
37	503
0	503
15	4308
7	3407
0	3407
2	4082
0	4066
0	4003
0	41
7	41
1	41
2	45
91	312
1	2539
12	2755
73	2528
0	14
0	25
0	20
0	23
0	14
0	0
0	0
0	0
0	0
0	0
21	0
50	0
31	53
21	52
0	1
0	1
0	2
0	2
24	17
30	17
1	9407
0	9180
0	9190
1	8417
0	13413
80	13413
11	11249
2	9080
0	0
0	0
1	656
0	563
0	785
639	4
27	15
24	331
33	331
39	3
0	4
0	0
0	0
0	0
0	0
0	0
195	3
0	0
16	1076
0	885
4	1656
0	1760
0	1832
7	1983
78	1767
5	28
9	8
14	56
27	1039
90	1081
1	1015
0	4
0	4
2	4
3	58
1	63
0	67
0	40
0	45
0	45
7	3086
20	3086
9	3086
14	3086
1	3086
155	3139
0	3171
0	1451
517	908
6	3819
812	4633
20	385
36	385
1	0
5	626
5	626
10	2963
14	2963
8	394
61	396
2	396
4	395
24	394
98	396
0	183
0	394
0	397
11	397
63	105
386	105
12	743
0	686
0	635
4	764
4	130
20	107
0	138
1	153
4	157
63	1
0	198
3	239
48	215
0	0
687	5
89	2
0	0
0	77
19	77
1	70
0	70
0	70
4	70
34	262
74	262
0	48
0	48
2	386
0	498
258	500
0	499
3	7170
355	7193
0	815
2	6968
5	881
3	2567
0	7304
17	7103
15	7016
0	47
0	47
0	47
1	596
7	653
29	919
27	928
0	930
14	947
4	340
88	1
106	884
9	883
460	4385
2480	4393
0	1663
7	1990
2	1645
3	37
0	63
24	64
39	1
199	911
88	911
0	0
2599	30
0	1398
0	1379
0	1441
3	1437
1	1390
0	1493
2	1209
0	1632
1047	11
33	0
288	5
0	0
0	0
0	0
348	4
1	0
234	2
1	0
120	798
142	801
1910	12
0	1812
86	1817
460	1824
106	2
176	8366
37	6188
8	8166
95	9319
450	2
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	439
12	439
0	464
23	464
0	150
0	222
