UniqueCount	AmbigCount
398	0
349	2
9422	34
3943	12
162	104
1289	107
18974	76
99	0
17	5
280	5
923	2
856	6
362	1
19	8205
392	8746
343	8870
3	0
1	0
5	0
24	0
0	661
0	614
9	667
2	656
2	675
0	670
0	672
1	811
0	592
39	791
0	810
0	810
0	810
2421	15
3	1640
0	1745
5	1799
135	1600
41	11833
1	16949
33	16949
0	17373
1	582
0	627
0	616
0	573
979	7
17	1544
158	1545
3	1484
63	3
95	4
14	53
23	56
0	1055
22	941
0	1310
10	864
0	1204
2	1271
16	186
125	477
73	458
7	908
0	946
9	836
1	0
538	2
49	745
0	742
43	70
15	69
1	0
0	0
737	10
20	0
0	1
0	1
4	1
145	0
0	494
33	1062
12	1062
0	6
0	7
0	18
0	32
8	43
18	0
0	7
0	8
1	20
0	20
0	17
248	0
12	0
56	1
7	50
0	485
0	494
0	470
6	68
0	221
14	220
0	221
0	58
26	0
0	0
3	17
0	0
1	0
2	57
48	57
75	0
20	154
0	257
0	257
0	0
65	0
10	21
21	24
348	2
212	2
3	103
17	103
6	0
0	356
3	644
13	644
145	570
2	1964
18	1821
11	2022
0	2022
0	2062
21	0
8	401
16	401
0	0
488	0
164	20
1	109
1	136
0	137
49	1
0	221
0	221
264	3
2	1
0	2
0	0
1551	9
0	0
0	0
0	0
0	0
0	0
0	0
0	0
60	0
1	945
0	0
0	0
0	0
1	22
5	26
4	26
0	26
1	238
200	238
0	0
26	94
130	96
7	38
7	171
1	170
0	173
0	173
0	171
5	421
45	424
0	312
2	290
0	0
51	0
274	0
0	0
4	251
1	251
0	34
14	6
4	1649
0	1624
119	1559
2	38
0	0
9	4
0	2
0	34
118	0
30	87
1	1
0	1
66	687
0	20
14	4
1	16
0	16
0	0
12	73
20	77
0	0
0	0
0	97
23	97
0	0
0	0
0	0
4	0
0	0
0	0
25	2059
55	2130
39	2289
32	990
85	990
112	0
0	11
0	9
0	11
0	11
22	1
12	0
18	0
2	2
19	78
0	1
1	1
0	1
47	48
174	0
14	0
11	50
2	94
125	91
0	0
127	1
0	11
2	11
0	0
0	0
45	25
0	193
1137	92
0	98
1	99
25	8
0	0
0	1
0	208
2	245
1	267
0	238
0	238
0	3
0	0
0	121
8	143
613	1
59	26
0	3
0	0
0	5
0	6
0	10
3	3699
0	4166
1	4002
74	3538
16	4060
0	4
0	249
0	249
7	94
0	0
33	450
0	450
0	0
44	0
0	0
32	190
0	1
132	1
221	19
3	451
10	451
28	451
0	1
23	61
139	1
0	6
2	6
646	1
81	0
148	0
0	0
90	0
7	603
25	496
224	447
0	2
30	2
3	2
16	14
0	0
65	1
1099	6
503	2
84	1236
0	1465
0	1170
0	0
129	0
205	171
44	171
0	33
5	33
0	0
0	0
0	3
14	0
0	3
1	3
0	1
0	1
55	1197
0	1203
33	1201
0	111
1	76
0	68
0	86
0	137
0	131
0	83
1	110
1	95
2	70
33	4
75	1
0	0
2	75
10	75
0	0
637	0
1336	2
0	0
567	9
2	0
1	148
2	192
1	167
111	138
1	147
0	893
43	1003
2	1457
0	2162
0	2215
2	2146
1	0
930	4
0	2
30	2
0	8
40	18
0	0
0	173
1	168
29	167
