UniqueCount	AmbigCount
1348	6
872	3
52306	205
19921	78
338	206
3808	221
91519	362
547	1
126	15
1344	17
2975	9
2118	10
677	0
20	19326
887	20601
672	20922
0	0
0	0
1	0
7	1
0	385
0	384
3	395
11	385
0	395
1	398
0	395
0	135
0	88
0	132
0	135
0	135
0	135
1506	9
4	1179
0	1254
1	1281
79	1146
8	2125
0	3058
3	3058
0	3135
0	646
0	701
0	682
0	659
633	6
11	1428
123	1429
1	1387
12	0
85	4
7	39
13	40
0	778
3	675
0	930
5	558
0	854
1	904
6	61
47	161
19	155
6	636
0	661
14	606
0	0
3037	13
43	476
2	476
59	71
17	71
11	0
1	0
1340	7
6	0
0	0
0	0
1	0
38	0
0	145
216	580
94	580
0	8
0	7
0	17
0	41
3	54
15	0
0	7
0	5
0	25
0	25
0	16
178	1
10	0
92	0
5	22
0	290
0	302
0	285
8	24
0	67
1	67
0	67
0	24
5	0
0	0
11	112
0	0
0	0
2	25
18	25
49	0
13	203
2	327
0	327
0	0
24	0
23	46
23	46
172	0
114	0
0	14
1	14
265	0
0	617
2	1024
39	1024
55	183
0	677
7	610
4	699
0	697
0	712
1	0
1	47
4	47
0	0
38	0
562	30
0	120
0	149
0	149
24	0
0	308
0	308
254	0
0	0
0	0
2	0
1379	4
46	1310
3	2674
0	2599
0	2674
0	2610
0	2563
0	2630
27	0
1	277
5	359
1	2034
2	0
2	10
0	11
3	11
0	11
1	227
215	227
0	1
21	39
69	39
1	4
63	1598
0	1594
0	1601
0	1601
0	1601
0	195
32	197
2	140
0	126
0	0
37	0
146	0
0	0
0	59
0	59
0	4
3	1
2	1295
0	1284
91	1220
0	4
0	1
16	12
0	3
0	4
21	0
1	30
0	0
0	0
4	28
0	3
0	0
0	13
0	13
0	0
1290	3155
462	3394
0	0
0	0
0	81
21	81
0	1
0	1
0	0
8	0
0	0
0	0
34	1104
35	1186
11	1248
18	708
59	710
48	0
0	15
0	7
0	15
0	15
0	0
4	0
10	0
0	2
2	12
0	0
0	0
0	0
4	6
202	0
5	11
3	36
0	50
21	47
531	124
29	0
0	0
0	0
135	252
0	2952
14	11
0	24
38	15
0	24
0	24
2	1
20	1867
0	2722
0	2767
21	2783
3	3228
0	3197
0	3197
0	5
0	1
0	115
7	132
885	2
41	35
0	14
0	0
127	1207
63	1299
63	1403
0	1820
0	2038
0	1945
22	1740
23	1975
0	5
0	151
0	151
35	157
0	0
0	0
0	0
0	0
2	0
0	1
21	151
0	2788
99	0
5	1
1	212
1	210
23	212
